shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
canonical-8000005,42.336152,-71.149186,10001,
canonical-8000005,42.336314,-71.148435,10002,
canonical-8000005,42.336397,-71.148102,10003,
canonical-8000005,42.336432,-71.147967,10004,
canonical-8000005,42.336628,-71.147112,10005,
canonical-8000005,42.336965,-71.145497,10006,
canonical-8000005,42.337007,-71.145323,10007,
canonical-8000005,42.337007,-71.145323,20001,
canonical-8000005,42.337044,-71.145168,20002,
canonical-8000005,42.337096,-71.144894,20003,
canonical-8000005,42.337201,-71.144355,20004,
canonical-8000005,42.337364,-71.143602,20005,
canonical-8000005,42.337536,-71.142709,20006,
canonical-8000005,42.337627,-71.142281,20007,
canonical-8000005,42.337655,-71.142111,20008,
canonical-8000005,42.337750,-71.141654,20009,
canonical-8000005,42.337750,-71.141654,30001,
canonical-8000005,42.337843,-71.141209,30002,
canonical-8000005,42.338055,-71.140278,30003,
canonical-8000005,42.338258,-71.139439,30004,
canonical-8000005,42.338414,-71.138769,30005,
canonical-8000005,42.338397,-71.138861,30006,
canonical-8000005,42.338440,-71.138690,30007,
canonical-8000005,42.338440,-71.138690,40001,
canonical-8000005,42.338651,-71.137838,40002,
canonical-8000005,42.339005,-71.136325,40003,
canonical-8000005,42.339115,-71.135897,40004,
canonical-8000005,42.339170,-71.135708,40005,
canonical-8000005,42.339198,-71.135644,40006,
canonical-8000005,42.339314,-71.135368,40007,
canonical-8000005,42.339376,-71.135194,40008,
canonical-8000005,42.339387,-71.135152,40009,
canonical-8000005,42.339387,-71.135152,50001,
canonical-8000005,42.339437,-71.134960,50002,
canonical-8000005,42.339471,-71.134827,50003,
canonical-8000005,42.339514,-71.134618,50004,
canonical-8000005,42.339573,-71.134112,50005,
canonical-8000005,42.339601,-71.133779,50006,
canonical-8000005,42.339612,-71.133492,50007,
canonical-8000005,42.339601,-71.132847,50008,
canonical-8000005,42.339599,-71.131969,50009,
canonical-8000005,42.339610,-71.131509,50010,
canonical-8000005,42.339616,-71.131429,50011,
canonical-8000005,42.339616,-71.131429,60001,
canonical-8000005,42.339624,-71.131299,60002,
canonical-8000005,42.339665,-71.130777,60003,
canonical-8000005,42.339718,-71.130272,60004,
canonical-8000005,42.339793,-71.129786,60005,
canonical-8000005,42.339863,-71.129397,60006,
canonical-8000005,42.339863,-71.129397,70001,
canonical-8000005,42.339887,-71.129266,70002,
canonical-8000005,42.340025,-71.128713,70003,
canonical-8000005,42.340122,-71.128337,70004,
canonical-8000005,42.340229,-71.127968,70005,
canonical-8000005,42.340421,-71.127394,70006,
canonical-8000005,42.340503,-71.127180,70007,
canonical-8000005,42.340661,-71.126790,70008,
canonical-8000005,42.340714,-71.126644,70009,
canonical-8000005,42.340768,-71.126517,70010,
canonical-8000005,42.340816,-71.126391,70011,
canonical-8000005,42.340989,-71.125874,70012,
canonical-8000005,42.341011,-71.125786,70013,
canonical-8000005,42.341155,-71.125265,70014,
canonical-8000005,42.341155,-71.125265,80001,
canonical-8000005,42.341197,-71.125113,80002,
canonical-8000005,42.341395,-71.124308,80003,
canonical-8000005,42.341455,-71.124030,80004,
canonical-8000005,42.341656,-71.123054,80005,
canonical-8000005,42.342004,-71.121719,80006,
canonical-8000005,42.342101,-71.121402,80007,
canonical-8000005,42.342126,-71.121290,80008,
canonical-8000005,42.342151,-71.121171,80009,
canonical-8000005,42.342151,-71.121171,90001,
canonical-8000005,42.342189,-71.120987,90002,
canonical-8000005,42.342201,-71.120859,90003,
canonical-8000005,42.342226,-71.120666,90004,
canonical-8000005,42.342365,-71.120112,90005,
canonical-8000005,42.342472,-71.119735,90006,
canonical-8000005,42.342651,-71.119135,90007,
canonical-8000005,42.343147,-71.117365,90008,
canonical-8000005,42.343302,-71.116778,90009,
canonical-8000005,42.343302,-71.116778,100001,
canonical-8000005,42.343356,-71.116573,100002,
canonical-8000005,42.343438,-71.116244,100003,
canonical-8000005,42.343697,-71.115368,100004,
canonical-8000005,42.343944,-71.114455,100005,
canonical-8000005,42.344052,-71.114067,100006,
canonical-8000005,42.344113,-71.113841,100007,
canonical-8000005,42.344113,-71.113841,110001,
canonical-8000005,42.344366,-71.112888,110002,
canonical-8000005,42.344541,-71.112294,110003,
canonical-8000005,42.344741,-71.111570,110004,
canonical-8000005,42.344845,-71.111175,110005,
canonical-8000005,42.344862,-71.111116,110006,
canonical-8000005,42.344862,-71.111116,120001,
canonical-8000005,42.345181,-71.109968,120002,
canonical-8000005,42.345305,-71.109540,120003,
canonical-8000005,42.345420,-71.109091,120004,
canonical-8000005,42.345494,-71.108804,120005,
canonical-8000005,42.345792,-71.107741,120006,
canonical-8000005,42.345849,-71.107562,120007,
canonical-8000005,42.345933,-71.107332,120008,
canonical-8000005,42.345933,-71.107332,130001,
canonical-8000005,42.345968,-71.107237,130002,
canonical-8000005,42.346054,-71.106994,130003,
canonical-8000005,42.346201,-71.106504,130004,
canonical-8000005,42.346464,-71.105515,130005,
canonical-8000005,42.347639,-71.101425,130006,
canonical-8000005,42.348799,-71.096973,130007,
canonical-8000005,42.348813,-71.096873,130008,
canonical-8000005,42.348813,-71.096873,140001,
canonical-8000005,42.348825,-71.096785,140002,
canonical-8000005,42.348837,-71.095780,140003,
canonical-8000005,42.348855,-71.095352,140004,
canonical-8000005,42.348877,-71.094806,140005,
canonical-8000005,42.348875,-71.094781,140006,
canonical-8000005,42.348965,-71.094152,140007,
canonical-8000005,42.348968,-71.094107,140008,
canonical-8000005,42.348968,-71.094107,150001,
canonical-8000005,42.348969,-71.094102,150002,
canonical-8000005,42.348968,-71.093383,150003,
canonical-8000005,42.348962,-71.093277,150004,
canonical-8000005,42.348948,-71.093214,150005,
canonical-8000005,42.348905,-71.093123,150006,
canonical-8000005,42.348640,-71.092792,150007,
canonical-8000005,42.348184,-71.092252,150008,
canonical-8000005,42.348133,-71.092174,150009,
canonical-8000005,42.348056,-71.092005,150010,
canonical-8000005,42.348019,-71.091888,150011,
canonical-8000005,42.347998,-71.091797,150012,
canonical-8000005,42.347988,-71.091707,150013,
canonical-8000005,42.348082,-71.088564,150014,
canonical-8000005,42.348076,-71.088178,150015,
canonical-8000005,42.348058,-71.087953,150016,
canonical-8000005,42.348058,-71.087953,160001,
canonical-8000005,42.348034,-71.087653,160002,
canonical-8000005,42.348012,-71.087419,160003,
canonical-8000005,42.347829,-71.085651,160004,
canonical-8000005,42.347831,-71.085554,160005,
canonical-8000005,42.347838,-71.085472,160006,
canonical-8000005,42.347877,-71.085300,160007,
canonical-8000005,42.349615,-71.078855,160008,
canonical-8000005,42.349747,-71.078361,160009,
canonical-8000005,42.349906,-71.077713,160010,
canonical-8000005,42.349979,-71.077446,160011,
canonical-8000005,42.349979,-71.077446,170001,
canonical-8000005,42.351757,-71.070970,170002,
canonical-8000005,42.351802,-71.070798,170003,
canonical-8000005,42.351802,-71.070798,180001,
canonical-8000005,42.352242,-71.069109,180002,
canonical-8000005,42.352427,-71.068292,180003,
canonical-8000005,42.352528,-71.067633,180004,
canonical-8000005,42.352589,-71.067135,180005,
canonical-8000005,42.352464,-71.065040,180006,
canonical-8000005,42.352481,-71.064880,180007,
canonical-8000005,42.352502,-71.064808,180008,
canonical-8000005,42.352532,-71.064751,180009,
canonical-8000005,42.352559,-71.064719,180010,
canonical-8000005,42.352559,-71.064719,190001,
canonical-8000005,42.352584,-71.064688,190002,
canonical-8000005,42.353028,-71.064543,190003,
canonical-8000005,42.353180,-71.064467,190004,
canonical-8000005,42.353351,-71.064363,190005,
canonical-8000005,42.353564,-71.064264,190006,
canonical-8000005,42.353644,-71.064166,190007,
canonical-8000005,42.353725,-71.064129,190008,
canonical-8000005,42.353896,-71.064035,190009,
canonical-8000005,42.354002,-71.063991,190010,
canonical-8000005,42.354517,-71.063713,190011,
canonical-8000005,42.354773,-71.063596,190012,
canonical-8000005,42.354897,-71.063520,190013,
canonical-8000005,42.355047,-71.063499,190014,
canonical-8000005,42.355287,-71.063349,190015,
canonical-8000005,42.355495,-71.063168,190016,
canonical-8000005,42.355624,-71.063034,190017,
canonical-8000005,42.355781,-71.062846,190018,
canonical-8000005,42.355921,-71.062690,190019,
canonical-8000005,42.356219,-71.062336,190020,
canonical-8000005,42.356333,-71.062194,190021,
canonical-8000005,42.356333,-71.062194,200001,
canonical-8000005,42.356581,-71.061887,200002,
canonical-8000005,42.356693,-71.061760,200003,
canonical-8000005,42.356805,-71.061665,200004,
canonical-8000005,42.356984,-71.061489,200005,
canonical-8000005,42.357219,-71.061218,200006,
canonical-8000005,42.357811,-71.060584,200007,
canonical-8000005,42.358080,-71.060329,200008,
canonical-8000005,42.359069,-71.059616,200009,
canonical-8000005,42.359208,-71.059508,200010,
canonical-8000005,42.359379,-71.059357,200011,
canonical-8000006,42.359338,-71.059393,10001,
canonical-8000006,42.359208,-71.059508,10002,
canonical-8000006,42.359069,-71.059616,10003,
canonical-8000006,42.358080,-71.060329,10004,
canonical-8000006,42.357811,-71.060584,10005,
canonical-8000006,42.357219,-71.061218,10006,
canonical-8000006,42.356984,-71.061489,10007,
canonical-8000006,42.356805,-71.061665,10008,
canonical-8000006,42.356693,-71.061760,10009,
canonical-8000006,42.356581,-71.061887,10010,
canonical-8000006,42.356334,-71.062194,10011,
canonical-8000006,42.356334,-71.062194,20001,
canonical-8000006,42.356219,-71.062336,20002,
canonical-8000006,42.355921,-71.062690,20003,
canonical-8000006,42.355781,-71.062846,20004,
canonical-8000006,42.355624,-71.063034,20005,
canonical-8000006,42.355495,-71.063168,20006,
canonical-8000006,42.355287,-71.063349,20007,
canonical-8000006,42.355047,-71.063499,20008,
canonical-8000006,42.354897,-71.063520,20009,
canonical-8000006,42.354773,-71.063596,20010,
canonical-8000006,42.354517,-71.063713,20011,
canonical-8000006,42.354002,-71.063991,20012,
canonical-8000006,42.353896,-71.064035,20013,
canonical-8000006,42.353725,-71.064129,20014,
canonical-8000006,42.353644,-71.064166,20015,
canonical-8000006,42.353564,-71.064264,20016,
canonical-8000006,42.353351,-71.064363,20017,
canonical-8000006,42.353180,-71.064467,20018,
canonical-8000006,42.353028,-71.064543,20019,
canonical-8000006,42.353014,-71.064548,20020,
canonical-8000006,42.353014,-71.064548,30001,
canonical-8000006,42.352584,-71.064688,30002,
canonical-8000006,42.352532,-71.064751,30003,
canonical-8000006,42.352502,-71.064808,30004,
canonical-8000006,42.352481,-71.064880,30005,
canonical-8000006,42.352464,-71.065040,30006,
canonical-8000006,42.352589,-71.067135,30007,
canonical-8000006,42.352528,-71.067633,30008,
canonical-8000006,42.352427,-71.068292,30009,
canonical-8000006,42.352242,-71.069109,30010,
canonical-8000006,42.351799,-71.070811,30011,
canonical-8000006,42.351799,-71.070811,40001,
canonical-8000006,42.351757,-71.070970,40002,
canonical-8000006,42.349978,-71.077448,40003,
canonical-8000006,42.349978,-71.077448,50001,
canonical-8000006,42.349906,-71.077713,50002,
canonical-8000006,42.349747,-71.078361,50003,
canonical-8000006,42.349615,-71.078855,50004,
canonical-8000006,42.347877,-71.085300,50005,
canonical-8000006,42.347838,-71.085472,50006,
canonical-8000006,42.347831,-71.085554,50007,
canonical-8000006,42.347829,-71.085651,50008,
canonical-8000006,42.348012,-71.087419,50009,
canonical-8000006,42.348034,-71.087653,50010,
canonical-8000006,42.348058,-71.087953,50011,
canonical-8000006,42.348058,-71.087953,60001,
canonical-8000006,42.348076,-71.088178,60002,
canonical-8000006,42.348082,-71.088564,60003,
canonical-8000006,42.347988,-71.091707,60004,
canonical-8000006,42.347998,-71.091797,60005,
canonical-8000006,42.348019,-71.091888,60006,
canonical-8000006,42.348056,-71.092005,60007,
canonical-8000006,42.348133,-71.092174,60008,
canonical-8000006,42.348184,-71.092252,60009,
canonical-8000006,42.348640,-71.092792,60010,
canonical-8000006,42.348905,-71.093123,60011,
canonical-8000006,42.348948,-71.093214,60012,
canonical-8000006,42.348962,-71.093277,60013,
canonical-8000006,42.348968,-71.093383,60014,
canonical-8000006,42.348969,-71.094102,60015,
canonical-8000006,42.348967,-71.094129,60016,
canonical-8000006,42.348967,-71.094129,70001,
canonical-8000006,42.348965,-71.094152,70002,
canonical-8000006,42.348875,-71.094781,70003,
canonical-8000006,42.348877,-71.094806,70004,
canonical-8000006,42.348855,-71.095352,70005,
canonical-8000006,42.348837,-71.095780,70006,
canonical-8000006,42.348825,-71.096785,70007,
canonical-8000006,42.348813,-71.096873,70008,
canonical-8000006,42.348813,-71.096873,80001,
canonical-8000006,42.348799,-71.096973,80002,
canonical-8000006,42.347639,-71.101425,80003,
canonical-8000006,42.346464,-71.105515,80004,
canonical-8000006,42.346201,-71.106504,80005,
canonical-8000006,42.346054,-71.106994,80006,
canonical-8000006,42.345968,-71.107237,80007,
canonical-8000006,42.345935,-71.107328,80008,
canonical-8000006,42.345935,-71.107328,90001,
canonical-8000006,42.345849,-71.107562,90002,
canonical-8000006,42.345792,-71.107741,90003,
canonical-8000006,42.345494,-71.108804,90004,
canonical-8000006,42.345420,-71.109091,90005,
canonical-8000006,42.345305,-71.109540,90006,
canonical-8000006,42.345181,-71.109968,90007,
canonical-8000006,42.344860,-71.111121,90008,
canonical-8000006,42.344860,-71.111121,100001,
canonical-8000006,42.344845,-71.111175,100002,
canonical-8000006,42.344741,-71.111570,100003,
canonical-8000006,42.344541,-71.112294,100004,
canonical-8000006,42.344366,-71.112888,100005,
canonical-8000006,42.344052,-71.114067,100006,
canonical-8000006,42.344024,-71.114168,100007,
canonical-8000006,42.344024,-71.114168,110001,
canonical-8000006,42.343944,-71.114455,110002,
canonical-8000006,42.343697,-71.115368,110003,
canonical-8000006,42.343438,-71.116244,110004,
canonical-8000006,42.343356,-71.116573,110005,
canonical-8000006,42.343254,-71.116959,110006,
canonical-8000006,42.343254,-71.116959,120001,
canonical-8000006,42.343147,-71.117365,120002,
canonical-8000006,42.342651,-71.119135,120003,
canonical-8000006,42.342472,-71.119735,120004,
canonical-8000006,42.342365,-71.120112,120005,
canonical-8000006,42.342226,-71.120666,120006,
canonical-8000006,42.342201,-71.120859,120007,
canonical-8000006,42.342189,-71.120987,120008,
canonical-8000006,42.342150,-71.121178,120009,
canonical-8000006,42.342150,-71.121178,130001,
canonical-8000006,42.342126,-71.121290,130002,
canonical-8000006,42.342101,-71.121402,130003,
canonical-8000006,42.342004,-71.121719,130004,
canonical-8000006,42.341656,-71.123054,130005,
canonical-8000006,42.341455,-71.124030,130006,
canonical-8000006,42.341395,-71.124308,130007,
canonical-8000006,42.341197,-71.125113,130008,
canonical-8000006,42.341066,-71.125587,130009,
canonical-8000006,42.341066,-71.125587,140001,
canonical-8000006,42.341011,-71.125786,140002,
canonical-8000006,42.340989,-71.125874,140003,
canonical-8000006,42.340816,-71.126391,140004,
canonical-8000006,42.340768,-71.126517,140005,
canonical-8000006,42.340714,-71.126644,140006,
canonical-8000006,42.340661,-71.126790,140007,
canonical-8000006,42.340503,-71.127180,140008,
canonical-8000006,42.340421,-71.127394,140009,
canonical-8000006,42.340229,-71.127968,140010,
canonical-8000006,42.340122,-71.128337,140011,
canonical-8000006,42.340025,-71.128713,140012,
canonical-8000006,42.339942,-71.129045,140013,
canonical-8000006,42.339942,-71.129045,150001,
canonical-8000006,42.339887,-71.129266,150002,
canonical-8000006,42.339793,-71.129786,150003,
canonical-8000006,42.339718,-71.130272,150004,
canonical-8000006,42.339665,-71.130777,150005,
canonical-8000006,42.339642,-71.131063,150006,
canonical-8000006,42.339642,-71.131063,160001,
canonical-8000006,42.339624,-71.131299,160002,
canonical-8000006,42.339610,-71.131509,160003,
canonical-8000006,42.339599,-71.131969,160004,
canonical-8000006,42.339601,-71.132847,160005,
